TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
338952,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,en,36.053,2018-11-14,134,"Warner Bros. Pictures,Heyday Films","United Kingdom,United States of America",200000000,654855901,"Adventure,Family,Fantasy",J.K. Rowling,David Yates,"Eddie Redmayne,Katherine Waterston,Dan Fogler",6.5
521224,tt4117338,A Dangerous Date,en,2.797,2018-04-14,82,Dawn's Light,United States of America,2500000,0,Thriller,"Colin Edward Lawrence,Richard Switzer,Eric Weinstock",Jared Cohn,"Jillian Murray,David Chokachi,Brianna Joy Chomer",4.1
417261,tt4103724,Forever My Girl,en,21.069,2018-01-26,104,LD Entertainment,United States of America,3500000,16367326,"Comedy,Drama,Music","Bethany Ashton Wolf,Heidi McLaughlin",Bethany Ashton Wolf,"Alex Roe,Jessica Rothe,Abby Ryder Fortson",6.6
445651,tt4073790,The Darkest Minds,en,29.555,2018-07-25,105,"21 Laps Entertainment,20th Century Fox",United States of America,34000000,41142379,"Action,Adventure,Drama","Chad Hodge,Alexandra Bracken",Jennifer Yuh Nelson,"Amandla Stenberg,Mandy Moore,Bradley Whitford",5.7
400090,tt4068576,The Nightingale,en,14.681,2018-09-23,136,"Bron Studios,Causeway Films,Made Up Stories,FilmNation Entertainment,Adelaide Film Festival Investment Fund,Screen Australia,Screen Tasmania,South Australian Film Corporation,Creative Wealth Media Finance",Australia,0,855756,"Adventure,Drama,Thriller",Jennifer Kent,Jennifer Kent,"Aisling Franciosi,Maya Christie,Baykali Ganambarr",7.3
431185,tt4052050,He's Out There,en,7.076,2018-10-25,89,"Unbroken Pictures,Screen Gems,Sony Pictures",United States of America,0,0,"Horror,Thriller",Mike Scannell,Dennis Iliadis,"Yvonne Strahovski,Anna Pniowsky,Abigail Pniowsky",5.2
291984,tt4042818,The Death & Life of John F. Donovan,en,9.614,2019-03-13,127,"Sons of Manual,Lyla Films,Warp Films","Canada,United Kingdom,United States of America",35000000,0,Drama,"Xavier Dolan,Jacob Tierney",Xavier Dolan,"Kit Harington,Natalie Portman,Jacob Tremblay",6.1
369523,tt4015500,The Tale,en,9.876,2018-01-20,115,"WeatherVane Productions,Blackbird Films,One Two Films,A Luminous Mind Production,Untitled Entertainment,Gamechanger Films,ZDF,ARTE","Germany,United States of America",0,0,"Biography,Drama,Mystery",Jennifer Fox,Jennifer Fox,"Laura Dern,Jason Ritter,Common",7.2
479315,tt6186940,Hot Air,en,2.389,2018-04-10,99,Spanknyce Films,United States of America,0,0,"Comedy,Drama",Will Reichel,Frank Coraci,"Steve Coogan,Taylor Russell,Neve Campbell",5.4
427641,tt2231461,Rampage,en,51.469,2018-04-11,107,"Wrigley Pictures,New Line Cinema,7 Bucks Entertainment,ASAP Entertainment,Flynn Picture Company,Twisted Media",United States of America,120000000,428028233,"Action,Adventure,Sci-Fi","Ryan Engle,Carlton Cuse,Ryan J. Condal",Brad Peyton,"Dwayne Johnson,Naomie Harris,Malin Akerman",6.1
